industry,sub_industry,company,no_people,growth_rate,job_posts,attrition_rate
IT,IT Software,Microsoft,1667,0.023,53,0.119
IT,IT Software,SAP,1450,-0.029,9,0.09
IT,IT Software,Autodesk,660,0.058,12,0.062
IT,IT Software,VMware,441,0.04,94,0.143
IT,IT Software,Symantec,270,-0.137,0,0.196
IT,IT Software,Murex,246,0.025,7,0.029
IT,IT Software,Tableau Software,208,0.072,13,0.119
IT,IT Software,Zendesk,198,0.1,37,0.138
IT,IT Software,SAS,192,0.049,4,0.149
IT,IT Software,Red Hat,191,-0.015,10,0.197
IT,IT Software,PSA Inc.,174,0.081,0,0.024
IT,IT Software,ServiceNow,169,0.3,8,0.087
IT,IT Software,Acronis,166,0.145,28,0.09
IT,IT Software,Adobe,159,0.006,10,0.139
IT,IT Software,Citrix,143,0.109,7,0.125
IT,IT Software,Infor,134,0.008,2,0.067
IT,IT Software,"DBS, Inc.",128,0.085,0,0.016
IT,IT Software,Temenos,125,-0.088,11,0.137
IT,IT Software,ITE,124,-0.008,0,0.008
IT,IT Software,Nutanix,124,0.016,6,0.106
IT,IT Software,Veritas Technologies LLC,122,-0.076,8,0.181
IT,IT Software,Micro Focus,121,0.034,6,0.118
IT,IT Software,AI Singapore,121,0.592,0,0.365
IT,IT Software,Workday,107,0.081,7,0.126
IT,IT Software,Anacle Systems Limited,105,0.019,6,0.115
IT,IT Software,SS&C Technologies,104,0.13,0,0.092
IT,IT Software,Dassault Systèmes,102,-0.019,9,0.087
IT,IT Software,Envision Digital,101,0.98,0,0.132
IT,IT Software,AVEVA,95,0.105,2,0.011
IT,IT Software,Deskera,95,-0.234,0,0.393
IT,IT Software,NetSuite,92,0.034,0,0.133
IT,IT Software,Splunk,91,0.282,10,0.062
IT,IT Software,OpenText,87,0.048,5,0.082
IT,IT Software,AxiomSL,86,0,3,0.081
IT,IT Software,Sage,83,0.012,1,0.061
IT,IT Software,Unit4,78,-0.037,0,0.164
IT,IT Software,Workato,76,0.727,48,0.1
IT,IT Software,KOEI TECMO Singapore Pte Ltd,74,0.057,0,0.167
IT,IT Software,NICE Ltd,72,0.014,1,0.07
IT,IT Software,Aspen Technology,72,0.043,6,0.085
IT,IT Software,ViSenze - AI for Visual Commerce,71,-0.165,10,0.359
IT,IT Software,Trend Micro,69,0.045,0,0.015
IT,IT Software,ACI Worldwide,68,-0.029,1,0.029
IT,IT Software,Pure Storage,68,0.046,4,0.165
IT,IT Software,SAP Concur,67,0.098,0,0.047
IT,IT Software,BCS Information Systems Private Limited,67,0,0,0.015
IT,IT Software,SenseTime 商汤科技,65,0.182,1,0.283
