industry,sub_industry,functions,growth_functions,professionals_functions,job_posts
IT,IT Software,Real Estate,0.2,48,0
IT,IT Software,Entrepreneurship,0.179,415,2
IT,IT Software,Community and Social Services,0.143,295,7
IT,IT Software,Military and Protective Services,0.104,74,5
IT,IT Software,Healthcare Services,0.098,101,1
IT,IT Software,Research,0.097,499,16
IT,IT Software,Support,0.094,1009,57
IT,IT Software,Marketing,0.064,1283,59
IT,IT Software,Business Development,0.063,4591,85
IT,IT Software,Education,0.06,777,1
IT,IT Software,Product Management,0.052,427,26
IT,IT Software,Legal,0.051,185,5
IT,IT Software,Program and Project Management,0.048,1190,45
IT,IT Software,Media and Communication,0.047,402,10
IT,IT Software,Sales,0.041,4040,295
IT,IT Software,Arts and Design,0.039,633,20
IT,IT Software,Operations,0.032,1804,65
IT,IT Software,Consulting,0.027,1778,52
IT,IT Software,Human Resources,0.025,932,34
IT,IT Software,Engineering,0.02,5814,345
IT,IT Software,Information Technology,0.008,3713,169
IT,IT Software,Quality Assurance,0.005,220,12
IT,IT Software,Finance,0.002,817,19
IT,IT Software,Accounting,0,408,7
IT,IT Software,Administrative,-0.002,624,17
IT,IT Software,Purchasing,-0.016,60,0
IT,IT Hardware,Research,0.094,58,0
IT,IT Hardware,Finance,0.091,48,0
IT,IT Hardware,Purchasing,0.044,119,1
IT,IT Hardware,Consulting,0.043,49,0
IT,IT Hardware,Community and Social Services,0.04,26,0
IT,IT Hardware,Human Resources,0.038,83,0
IT,IT Hardware,Operations,0.033,504,14
IT,IT Hardware,Entrepreneurship,0.031,33,0
IT,IT Hardware,Product Management,0.025,81,1
IT,IT Hardware,Sales,0.017,609,9
IT,IT Hardware,Information Technology,0.014,505,2
IT,IT Hardware,Support,0.01,106,1
IT,IT Hardware,Business Development,0.002,547,6
IT,IT Hardware,Administrative,0,136,2
IT,IT Hardware,Program and Project Management,0,121,2
IT,IT Hardware,Education,0,54,0
IT,IT Hardware,Media and Communication,0,52,0
IT,IT Hardware,Healthcare Services,0,13,1
IT,IT Hardware,Legal,0,10,0
IT,IT Hardware,Marketing,-0.008,130,5
IT,IT Hardware,Quality Assurance,-0.009,105,2
IT,IT Hardware,Engineering,-0.011,1752,24
IT,IT Hardware,Accounting,-0.033,58,2
