industry,sub_industry,skills,growth_skills,skills_professionals,job_posts_skills
IT,Database Management,Operations,1.601,"2,005",623
IT,Fintech,Operations,1.335,642,583
IT,Cybersecurity,Operations,1.333,615,184
IT,Fintech,Big Data,1.323,936,102
IT,Fintech,Databases,1.298,841,101
IT,Fintech,Data Analytics,1.106,872,179
IT,Fintech,Digital Transformation,0.987,765,53
IT,Fintech,Operations Management,0.936,691,16
IT,Fintech,Analytical Skills,0.878,1228,735
IT,Fintech,Engineering,0.82,1332,346
IT,Fintech,Artificial Intelligence (AI),0.806,1302,41
IT,Fintech,Supply Chain Management,0.798,748,15
IT,Fintech,Amazon Web Services (AWS),0.717,697,244
IT,Fintech,Machine Learning,0.712,1250,140
IT,CaaS,Digital Transformation,0.692,44,0
IT,Fintech,Finance,0.689,3560,354
IT,Fintech,Python (Programming Language),0.663,1705,317
IT,Fintech,Recruiting,0.602,705,32
IT,Fintech,Agile Methodologies,0.567,1238,75
IT,Fintech,Customer Experience,0.562,681,91
IT,Database Management,Data Analytics,0.56,"1,839",402
IT,Fintech,Data Analysis,0.552,1645,88
IT,Fintech,Information Technology,0.533,1013,119
IT,Fintech,Financial Analysis,0.525,1455,26
IT,Fintech,Manufacturing,0.512,617,4
IT,Fintech,Investments,0.501,1001,16
IT,Fintech,Business Intelligence (BI),0.458,1184,57
IT,Fintech,Cloud Computing,0.458,1745,372
IT,Fintech,FinTech,0.457,4508,1134
IT,Fintech,Cryptocurrency,0.447,1308,580
IT,Fintech,Corporate Finance,0.444,976,8
IT,Fintech,Blockchain,0.433,3843,703
IT,Fintech,Financial Modeling,0.418,1044,14
IT,Fintech,Digital Marketing,0.417,1387,82
IT,Fintech,Insurance,0.411,1136,17
IT,Fintech,SQL,0.408,1746,264
IT,Database Management,Amazon Web Services (AWS),0.405,"2,578",359
IT,Fintech,C (Programming Language),0.4,606,4
IT,Telecommunications,Telecommunications,0.397,6544,126
IT,Cybersecurity,Python (Programming Language),0.391,658,52
IT,Fintech,Wealth Management,0.39,706,29
IT,Fintech,Scrum,0.386,805,40
IT,Fintech,Customer Relationship Management (CRM),0.37,1587,142
IT,Fintech,Financial Technology,0.36,887,1511
IT,Fintech,Stakeholder Management,0.357,635,101
IT,Fintech,JavaScript,0.357,1210,287
IT,Fintech,HTML,0.356,845,98
IT,Fintech,Social Media Marketing,0.353,808,14
IT,Fintech,Business Process Improvement,0.352,669,8
IT,Fintech,Cross-functional Team Leadership,0.348,821,41
IT,Fintech,Business Process,0.347,807,41
IT,Fintech,User Experience (UX),0.344,739,99
IT,Fintech,Equities,0.337,753,0
IT,Fintech,Business Relationship Management,0.335,709,73
IT,Fintech,Programming,0.33,613,293
IT,Fintech,Portfolio Management,0.326,1293,32
IT,IT Hardware,Engineering,0.325,952,27
IT,Fintech,Economics,0.325,664,0
IT,Fintech,Financial Services,0.322,2649,291
IT,Database Management,Python (Programming Language),0.32,"2,514",410
IT,Fintech,C++,0.311,910,87
IT,Fintech,Asset Management,0.31,693,12
IT,Fintech,MySQL,0.309,703,60
IT,Fintech,Derivatives,0.307,783,8
IT,Fintech,Software Development Life Cycle (SDLC),0.305,877,102
IT,Fintech,Banking,0.304,3478,344
IT,Fintech,Business Analysis,0.299,2337,88
IT,Fintech,Risk Management,0.299,1926,128
IT,Fintech,Financial Markets,0.298,744,36
IT,Fintech,Capital Markets,0.297,935,60
IT,Fintech,Consulting,0.296,1138,135
IT,Fintech,Sales Management,0.295,1089,41
IT,Fintech,Software as a Service (SaaS),0.293,595,93
IT,Fintech,Private Equity,0.291,656,0
IT,Fintech,Mergers & Acquisitions (M&A),0.291,958,0
IT,Fintech,Digital Strategy,0.291,644,9
IT,Fintech,Java,0.29,1576,316
IT,Fintech,Software Development,0.286,2013,471
IT,Fintech,Investment Banking,0.286,963,13
IT,Cybersecurity,Analytical Skills,0.283,859,205
IT,Fintech,Market Research,0.283,1124,59
IT,Fintech,Business Planning,0.282,991,18
IT,Fintech,Fixed Income,0.273,610,8
IT,Fintech,Requirements Analysis,0.272,898,13
IT,Fintech,Program Management,0.258,1149,10
IT,Database Management,Tableau,0.251,"1,611",135
IT,Fintech,Solution Architecture,0.249,798,45
IT,Fintech,New Business Development,0.244,1019,13
IT,Fintech,Linux,0.244,709,207
IT,Fintech,Software Project Management,0.243,768,0
IT,Cybersecurity,Data Analysis,0.24,932,13
IT,Fintech,Entrepreneurship,0.238,1696,30
IT,Fintech,Vendor Management,0.238,1005,8
IT,Database Management,Analytical Skills,0.236,"1,820",743
IT,Cybersecurity,Agile Methodologies,0.235,534,12
IT,Fintech,Web Development,0.224,742,28
IT,Fintech,Enterprise Software,0.222,617,23
IT,Fintech,Product Development,0.222,1664,131
IT,Fintech,Analytics,0.222,2215,224
IT,Fintech,Venture Capital,0.215,667,9
IT,Fintech,Management Consulting,0.211,1038,11
IT,Fintech,E-commerce,0.208,1972,121
IT,Fintech,Product Management,0.202,2332,162
IT,IT Hardware,Manufacturing,0.198,581,24
IT,Fintech,Pre-sales,0.198,1063,34
IT,Database Management,Cybersecurity,0.193,"1,613",102
IT,Database Management,Big Data,0.191,"2,052",287
IT,Fintech,Start-ups,0.189,1615,385
IT,Cybersecurity,Engineering,0.182,2231,200
IT,Database Management,Data Analysis,0.181,"2,867",128
IT,Database Management,Agile Methodologies,0.174,"2,321",21
